Name,GitHub ID,Episode,Season,Season Title,Title,Duration (min),Primary Setting,Core Technology,Strategic Milestone,Canon Status,Source,Status,Notes
101 – Ground State,101,101,1,The Great Awakening & The Baltic Vault,Ground State,43,Earth (London/Chicago/SGC),BC-304 USS Odyssey & Hammond,Daytime orbital dogfight; public disclosure initiated.,Locked,GitHub,Locked,
102 – The Living Room,102,102,1,The Great Awakening & The Baltic Vault,The Living Room,43,UN Geneva / Estonia,Standard Stargate & DHD,Global address; IOA dissolved into civilian TDIA.,Locked,GitHub,Locked,
103 – Black Glass,103,103,1,The Great Awakening & The Baltic Vault,Black Glass,43,Nevada / North Sea / Area 51,Kull-composite hull armor,Black Glass Protocol; salvage of alien debris.,Locked,GitHub,Locked,
104 – Harmonic 432,104,104,1,The Great Awakening & The Baltic Vault,Harmonic 432,43,"Harju County, Estonia",Baltic Furling Vault (432 Hz),Subterranean vault phases in; grid resistance hits 0.,Locked,GitHub,Locked,
105 – The First Pillar,105,105,1,The Great Awakening & The Baltic Vault,The First Pillar,43,Baltic Vault,Furling Codex,First decoded Furling text confirms Fifth Race status.,Locked,GitHub,Locked,
106 – The Codex of Living Stone,106,106,1,The Great Awakening & The Baltic Vault,The Codex of Living Stone,43,Baltic Vault / Chicago,Furling Holographic Codex,Daniel translates ancient Five Races charter.,Locked,GitHub,Locked,
107 – The Morning Without Bills,107,107,1,The Great Awakening & The Baltic Vault,The Morning Without Bills,43,Scandinavia / London,Solid-State Step-Down Inverters,14 nations abolish civilian power/heating bills.,Locked,GitHub,Locked,
108 – Shadow Grid,108,108,1,The Great Awakening & The Baltic Vault,Shadow Grid,43,Zurich Sub-Bunkers,Furling Phase-Shift Inverters,Trust illegal weapons factory dismantled in Zurich.,Locked,GitHub,Locked,
109 – The Red River,109,109,1,The Great Awakening & The Baltic Vault,The Red River,43,Yangtze Basin,Hydro-Resonance Dampeners,China integrates 432 Hz grid after flood crisis.,Locked,GitHub,Locked,
110 – The Last Blackout,110,110,1,The Great Awakening & The Baltic Vault,The Last Blackout,43,Global / SGC,TSSC Superconducting Grid Prototype,Final coordinated blackout tests complete.,Locked,GitHub,Locked,
111 – The Bridge of Light,111,111,1,The Great Awakening & The Baltic Vault,The Bridge of Light,43,Baltic Gateway,Quantum Loom Prototype,First stable interstellar Gate link from Estonia.,Locked,GitHub,Locked,
112 – Thirty-Eight Minutes,112,112,1,The Great Awakening & The Baltic Vault,Thirty-Eight Minutes,43,SGC / Off-world,38-Minute Capacitor Law,Formal codification of wormhole duration limit.,Locked,GitHub,Locked,
113 – The Empathy Forums,113,113,1,The Great Awakening & The Baltic Vault,The Empathy Forums,43,Chicago / Global,90-Hz Community Resonance,Elena organizes first global Community Empathy Forums.,Locked,GitHub,Locked,
114 – The Naquadria Treaty,114,114,1,The Great Awakening & The Baltic Vault,The Naquadria Treaty,43,Langara,Refined Naquadria,Jonas secures first post-disclosure resource treaty.,Locked,GitHub,Locked,
115 – The Architect Returns,115,115,1,The Great Awakening & The Baltic Vault,The Architect Returns,43,Dagan / Baltic,Janus Stasis Pod,Aethelis revived; begins Olympos design.,Locked,GitHub,Locked,
116 – The Doranda Slipway,116,116,1,The Great Awakening & The Baltic Vault,The Doranda Slipway,43,Pegasus / Doranda,Gate Foundry,First Pegasus industrial base secured.,Locked,GitHub,Locked,
