Name,GitHub ID,Type,Dimensions,Key Systems,Primary Role,First Appearance / Notes,Source,Canon Status
Aegis-Null,Aegis-Null,Automated Dreadnought,12.4 km,"180 PW Bosonic Inversion Beams, self-repair foundry, First-Iteration AI",Cosmological Custodian,S6 – 2.4 By old,GitHub,Locked
BC-305 Caelum-Class,BC-305 Caelum-Class,Heavy Super-Carrier,"1,800 m L × 620 m B","Archimedes ZPM + Naquadria fusion, Asgard beams, 48 Star-Darts",Intergalactic Carrier,"S1–2; 180,000 ly/h",GitHub,Locked
JFS Dakara's Dawn (CS-04),JFS Dakara's Dawn,City-Ship,Same,Same,Free Jaffa,S4,GitHub,Locked
NCS Valhalla Prime (CS-05),NCS Valhalla Prime,City-Ship,Same,Same,Neo-Asgard,S4,GitHub,Locked
NCS Valhalla's Pride,NCS Valhalla's Pride,Hybrid Carrier,"2,800 m",Neutrino-Ion + Lantean Bubble Shield,Neo-Asgard / Concordat,S5,GitHub,Locked
PFS Achenar Hope,PFS Achenar Hope,Humanitarian Hauler,700 m (ex-Ha'tak),"Grain silos, water scrubbers (weapons removed)",Famine relief / conversion,S8,GitHub,Locked
PFS Hope of Lantea,PFS Hope of Lantea,Hybrid Cruiser,"3,500 m",Asgard Plasma + Wraith Bio-Chitin armor,Pegasus Flagship,S5,GitHub,Locked
PJX-01 Star-Dart,PJX-01 Star-Dart,Gate-Craft,8.2 × 4.7 × 4.2 m,"NCT headband, telescoping nacelles, Inertial Cocoon, 12 micro-drones",Gate transit / fighter / recon,S4 prototype,GitHub,Locked
TSS Aethelgard (CS-02),TSS Aethelgard,City-Ship,Same as Hyperion,Same,Baltic Orbit Command,S4,GitHub,Locked
TSS Chronos (Genesis-Class),TSS Chronos,World-Forge,"5,000 m","CMB Source Code Compiler, 240 PW Matter-Genesis Emitter, 864 Hz Phase Drive",Reality resurrection / planetary synthesis,S10,GitHub,Locked
TSS Hyperion (Olympos-Class CS-01),TSS Hyperion,City-Ship,"4,200 m diameter / 1,200 m spire","Tri-ZPM, Bubble Shield, Phase-Neutralization Pulse, Gravimetric rings",Flagship / Mobile Capital,S4 – Keel at Moon L2,GitHub,Locked
TSS Shenzhou (CS-03),TSS Shenzhou,City-Ship,Same,Same,Pacific Orbit,S4,GitHub,Locked
