Name,GitHub ID,Episode,Season,Season Title,Title,Duration (min),Primary Setting,Core Technology,Strategic Milestone,Canon Status,Source,Status,Notes
101 – Ground State,101,101,1,The Great Awakening & The Baltic Vault,Ground State,43,Earth (London/Chicago/SGC),BC-304 USS Odyssey & Hammond,Daytime orbital dogfight; public disclosure initiated.,Locked,GitHub,Locked,
102 – The Living Room,102,102,1,The Great Awakening & The Baltic Vault,The Living Room,43,UN Geneva / Estonia,Standard Stargate & DHD,Global address; IOA dissolved into civilian TDIA.,Locked,GitHub,Locked,
103 – Black Glass,103,103,1,The Great Awakening & The Baltic Vault,Black Glass,43,Nevada / North Sea / Area 51,Kull-composite hull armor,Black Glass Protocol; salvage of alien debris.,Locked,GitHub,Locked,
104 – Harmonic 432,104,104,1,The Great Awakening & The Baltic Vault,Harmonic 432,43,"Harju County, Estonia",Baltic Furling Vault (432 Hz),Subterranean vault phases in; grid resistance hits 0.,Locked,GitHub,Locked,
105 – The Foundry Protocol,105,105,1,The Great Awakening & The Baltic Vault,The Foundry Protocol,43,Geneva / CERN Materials Annex,Optical Crystal Compute Bus,Open-source alien manufacturing standards codified.,Locked,GitHub,Locked,
106 – The Codex of Living Stone,106,106,1,The Great Awakening & The Baltic Vault,The Codex of Living Stone,43,Baltic Vault / Chicago,Furling Holographic Codex,Daniel translates ancient Five Races charter.,Locked,GitHub,Locked,
107 – The Morning Without Bills,107,107,1,The Great Awakening & The Baltic Vault,The Morning Without Bills,43,Scandinavia / London,Solid-State Step-Down Inverters,14 nations abolish civilian power/heating bills.,Locked,GitHub,Locked,
108 – Shadow Grid,108,108,1,The Great Awakening & The Baltic Vault,Shadow Grid,43,Zurich Sub-Bunkers,Furling Phase-Shift Inverters,Trust illegal weapons factory dismantled in Zurich.,Locked,GitHub,Locked,
109 – The Red River,109,109,1,The Great Awakening & The Baltic Vault,The Red River,43,Mars (Valles Marineris),Furling Planetary Bio-Regulator,Sub-crust drilling activates Martian water flow.,Locked,GitHub,Locked,
110 – The Langara Corridor,110,110,1,The Great Awakening & The Baltic Vault,The Langara Corridor,43,Geneva / Langara,Refined Langaran Naquadria,Jonas Quinn ratifies naquadria export treaty.,Locked,GitHub,Locked,
